Spice name,Traditional Name,uses,Origin,Chemical Composition,Other uses
Pepper,"Gol Mirch (Hindi), Silam (Mizo)","Enhances metabolism, antibacterial, improves digestion","Assam, Nagaland","Piperine, Essential oils","spice , Black pepper, insect Repellent,food preservation, ant & Bugs etc. "
Turmeric,"Haldi (Hindi), Yai (Manipuri)","Anti-inflammatory, boosts immunity, supports digestion","Assam, Arunachal Pradesh, Manipur","Curcumin, Turmerones","Spice ,food coloring , Anti-inflammatory, Digestive issues etc."
Ginger,"Adrak (Hindi), Sonti (Assamese)","Aids digestion, relieves nausea, anti-inflammatory","Nagaland, Meghalaya, Manipur","Gingerol, Shogaol","Food preservation ,Beverages, spice and Flavoring Etc. "
Black Cardamom,Bari Elaichi (Hindi),"Respiratory health, digestion aid, antioxidant properties","Sikkim, Arunachal Pradesh","Cineole, Terpinyl acetate","Garnish, Food preparation , spice ,Medicine for various ailments Etc."
Green Cardamom,Chhoti Elaichi (Hindi),"Supports digestion, reduces bloating, antiseptic properties","Nagaland, Assam","Linalool, Alpha-terpineol","Indian Curries ,Masala chai, spice & flavoring , Scandinavian Cuisine, Middle Eastern cuisine ,Other Dishes Etc."
Clove,Laung (Hindi),"Relieves toothache, anti-inflammatory, aids digestion, cough","Meghalaya, Arunachal Pradesh","Eugenol, Acetyl eugenol","Used in spice blends, marinades, pickles, sauces, soups, baking (cakes, gingerbread).Used in perfumes and aromatherapy"
Fennel,Saunf (Hindi),"Relieves bloating, improves digestion, antioxidant","Arunachal Pradesh, Manipur","Anethole, Estragole","Used in Mediterranean, Indian, and Middle Eastern dishes, raw or cooked in salads, stews, and roasted dishes."
Carom Seeds,Ajwain (Hindi),"Relieves indigestion, antibacterial, respiratory health","Assam, Meghalaya","Thymol, Limonene","Used in Indian and Middle Eastern dishes, bread, curries, spice blends like garam masala."
 Indian Bay Leaf,Tej Patta (Hindi),"Regulates blood sugar, antimicrobial, supports digestion","Sikkim, Arunachal Pradesh","Eugenol, Cinnamaldehyde","Used in Indian cooking for rice, biryani, curries, stew, potpourri and as natural air fresheners."
Cumin,Jeera (Hindi),"Aids digestion, improves immunity, anti-inflammatory","Meghalaya, Nagaland","Cuminaldehyde, Limonene","Used in Indian, Middle Eastern, Mexican, and North African cuisines, in spice blends like taco seasoning and curry powders"
Nutmeg,Jaiphal (Hindi),"Improves brain function, digestion aid","Assam, Meghalaya","Myristicin, Elemicin"," sweet and savory dishes, cakes, pies, soups, stews.eggnog, hot chocolate, mulled wine.Used in perfumes, scented candles.Used in facial scrubs and lotions."
Curry Leaf,Curry Patta (Hindi),"Controls diabetes, protects liver","Assam, Meghalaya",Carbazole alkaloids,"Used in South Asian cuisine in curries, stews, chutneys, and rice dishes."
Tree Turmeric,Daruharidra (Hindi),"Liver health, jaundice, skin diseases, eye infections, diabetes, fever","Arunachal, Assam (hills), Nagaland, Manipur, Meghalaya","Berberine, Palmatine, Berbamine, Tannins, Resins, Oxyacanthine","Natural dye, ethnoveterinary care, Ayurvedic/Unani formulations"
Jungle Garlic,Junglee Lasun (Hindi),"Digestion, respiratory infections, blood pressure, postnatal recovery","Sikkim, Arunachal, Nagaland, Manipur, Meghalaya","Allicin, Alliin, Quercetin, Sulfur oils, Saponins, Vitamin C","Culinary herb, ethnoveterinary use, pollinator support"
Asafoetida,Hing (Hindi),"Aids digestion, relieves bloating","Meghalaya, Assam","Ferulic acid, Sulfides","Used in Indian cuisine as a spice, often in vegetarian dishes for its pungent, umami flavor."
Ginger Lily,Kapur Kachri (Hindi),"Treats respiratory issues, improves digestion",Arunachal Pradesh,"Cineole, Zingiberene","used to extract essential oils for perfumery, contributing a sweet, floral scent."
Himalayan Rhubarb,Revandchini or Dolu.,"Laxative, liver detoxification","Sikkim, Arunachal Pradesh","Anthraquinones, Tannins",local cooking in the Himalayan region for making stews and chutneys
Red Sandalwood,Rakta Chandan,"Skin healing, anti-inflammatory","Meghalaya, Arunachal Pradesh","Santalins, Pterocarpol","used for carving and crafting, especially in making decorative items and sculpture"
Kokum,Amsul or Ratamba,"Aids weight loss, digestive health","Assam, Tripura",Hydroxycitric acid,"cooking, particularly in Indian cuisine, for flavoring dishes like curries, sauces, and beverages."
Indian Madder,Manjistha,"Anticancer, blood purifier","Assam, Arunachal Pradesh","Alkaloids, Anthraquinones","Grown for its attractive flowers in gardens and landscaping , traditional rituals and ceremonies."
sweet flag or muskart root,Bosh,"Kidney, liver disorders,gastrointestinal"," Manipur,Himalayas and Naga hills Etc","Asaron ,caryophyllene humulene and sekishone",some pepole use calamus to treat and skin diseases.
  Golden apple stone apple ,Bel,"   treating fever, diarrhea, dysentery etc",    Hills and plain Areas,"alkaloids, coumarins, terpenoids, flavonoids, and phenoloic acids.","  Bael extracts oil,leaf juics with honey."
Onion,Panaru or piyaj,"supporting heart health, regulating blood sugar, improving digestion etc.","Meghalaya ,assam , arunachal pradesh, tripura, sikkim, Manipur","Water, carbohydates, Minerals,Bioactive compounds etc.","Traditionaley uses for cough ,asthma, and diabetes."
     Black galangal ,Tora,"Dyspepsia,Gastric issuse,and intestinal infection .","Assam, Tripura, and Mizoram .","Cineole, pinene,caryophyllene, alkaloids,flavonoids,phenols,and terpenoids.","Traditionaley uses for Jaundice,anti-inflammatory ,Bone weakness etc."
Sessile Joyweed,Matikaduri," Inflamation, Fever, Diarrhea, Dysentery, Asthma"," Brahamaputra and barak valleys areas , and foothills of the Himalayas .","alkaloids, terpenoids, flavonoids, tannins, saponins, polyphenols,and cardicglycosides.","Ornamental, Hair Growth,Skin tone and Texture."
      Garlic ,Naharu,"supporting heart health,potentially low ering blood pressure, antioxidant,  antimCrobial properties.","Arunachal Pradesh, Manipur, Assam, Mizoram,Meghalaya, Sikkim, Tripura Etc.","Water, carbohydrates,proteins,Fiber, Bio active compound ( Allicine&Alliin) Etc.","Food flavor enhancer, Garlic powder, salt and other products ."
Balcooa Bamboo or Female  Bamboo,Bhaluka banh,"Treating fever, and its leavers are used for skin ,iung irritation and agitation , diabetes and stomach problems .","Assam, Manipur, Nagaland, Meghalaya,Tripura , Arunachal Pradesh & Mizoram ."," Cellulose,Hemicellulose, lignin,Resins,tannins,waxes,and inorganic salts.","Construction,furniture, food ,textiles,medicinine and ornamental plant etc."
Sesame,Til,"Cardiovascular support, skin care, liver health, postpartum, immunity","Assam, Manipur, Nagaland, Tripura, Mizoram","Sesamin, Sesamol, Sesamolin, Vitamin E, Oleic acid, Calcium","Oil, food, ritual, ethnoveterinary, Ayurvedic massage"
